BookID,Title,Author,Genre,ReleaseDate,Publisher
1,"In ex debitis quia doloremque mollitia omnis aut.",aspernatur,aspernatur,1973-08-18,Inc
2,"Rerum voluptatibus omnis voluptatem necessitatibus quos.",sit,iure,2006-11-14,Ltd
3,"Assumenda dolorem voluptatum vitae esse est dolore in.",ipsam,quia,1982-01-14,Inc
4,"Tempore provident optio nihil minus sit modi.",natus,sit,2013-02-10,LLC
5,"Doloribus et aut qui voluptates error ex laboriosam.",aliquam,sint,1999-05-24,Ltd
6,"Velit ut nihil vel eos voluptas illum mollitia.",omnis,est,2008-06-16,LLC
7,"Dolorem omnis debitis quia quod tenetur.",est,rem,1977-08-27,Inc
8,"Omnis corrupti animi culpa ut.",magni,magni,2015-12-26,"and Sons"
9,"Beatae corrupti doloremque beatae ea et quos optio soluta.",odio,iure,1986-08-22,Inc
10,"Dignissimos possimus et ea illum.",nemo,voluptas,1974-08-09,Ltd
11,"Aut et dignissimos voluptas sed similique quia.",sint,voluptas,2007-05-05,LLC
12,"Quae quisquam nobis asperiores vel cum explicabo.",tempore,quis,1977-09-07,PLC
13,"Reprehenderit ea qui reprehenderit labore rerum tempore vitae.",libero,nisi,2015-09-27,Ltd
14,"Corrupti ut quis at rem.",quaerat,ad,1985-01-24,Inc
15,"Maiores itaque blanditiis autem enim.",consequuntur,assumenda,1990-08-20,"and Sons"
16,"Dolorum voluptatem tenetur nisi.",accusamus,in,2012-11-17,LLC
17,"Quo id esse aut quam non.",alias,delectus,1988-11-29,Inc
18,"Et saepe deserunt enim et quam perspiciatis.",veniam,autem,1985-05-14,LLC
19,"At quibusdam id voluptas aut magnam molestiae.",eum,adipisci,1974-10-14,"and Sons"
20,"A incidunt sunt nihil architecto alias aut sit.",sit,dolor,2004-02-13,Ltd
21,"Tempore tenetur dolorum doloremque et quia eaque.",tempora,aliquid,1990-06-24,Ltd
22,"Et perspiciatis laborum ex et nihil voluptatem hic odit.",numquam,quia,2010-12-17,Ltd
23,"Ut sit fugit iste omnis atque blanditiis.",nam,magni,2020-01-11,Group
24,"Ab est autem necessitatibus ut.",et,recusandae,1979-05-17,Group
25,"Sit temporibus ratione soluta.",id,facere,1985-09-01,"and Sons"
26,"Illo voluptas id perferendis excepturi aut ipsa consequatur.",odio,impedit,1979-11-21,Group
27,"Ipsa maxime delectus facere ullam aliquam eum magni.",aut,voluptas,1976-03-21,"and Sons"
28,"Dolores voluptatum consequatur occaecati quod.",accusamus,excepturi,1980-04-12,PLC
29,"Sed quia animi animi asperiores quasi sed dolores.",aut,ut,1999-04-12,Group
30,"Rerum sit sed repellendus sed quis libero.",aut,quia,1987-07-18,PLC
31,"Id expedita et qui officia incidunt aut quod illum.",doloribus,vel,2011-05-26,Ltd
32,"Alias necessitatibus fugit libero expedita.",sit,nam,2007-01-02,LLC
33,"Veritatis voluptatem ratione architecto ratione possimus ipsa omnis fugit.",ipsa,deserunt,2014-06-02,PLC
34,"Quos porro doloremque sit est.",animi,excepturi,1978-05-07,"and Sons"
35,"Sit consequuntur architecto non non deleniti repellat.",voluptatem,deserunt,2008-06-13,"and Sons"
36,"Repellendus et saepe autem molestiae nemo.",et,explicabo,2018-10-12,"and Sons"
37,"Ut accusamus deleniti facilis perferendis quo.",commodi,quod,2022-08-05,"and Sons"
38,"Doloribus aspernatur possimus consectetur vero saepe.",numquam,non,2021-08-22,"and Sons"
39,"Debitis eligendi ullam autem et nihil et quia.",consequuntur,inventore,2014-01-08,PLC
40,"Praesentium rem ipsa ut maxime excepturi provident numquam.",neque,quia,2022-09-25,LLC
41,"Sed dolorum id qui.",quo,facere,1987-10-26,"and Sons"
42,"Quos et pariatur sequi iure amet.",quod,deserunt,2021-03-07,Ltd
43,"Harum illo et excepturi aliquam iste tenetur.",laudantium,asperiores,2008-09-23,Ltd
44,"Ut sit esse sit voluptate dolor.",id,aliquam,1988-11-05,Ltd
45,"Dolor magnam sunt sint sint.",sunt,ut,1989-04-18,"and Sons"
46,"Et ea illum delectus dicta ab quasi est repellat.",ut,vero,1976-09-27,PLC
47,"Ratione voluptatibus quo porro vero est.",autem,porro,1986-06-03,Ltd
48,"Id dicta quibusdam voluptatem dolorum in qui.",enim,molestiae,2020-07-31,Group
49,"Et aut quaerat rerum quo itaque aut et.",voluptatem,dolores,2012-11-07,"and Sons"
50,"Maiores qui dolor molestias voluptatum sit suscipit.",totam,harum,2000-07-31,Group
51,"Et dolor veniam et et.",suscipit,cumque,2018-09-06,"and Sons"
52,"Magnam dolor repudiandae dolore libero deserunt ut.",qui,maiores,2013-04-10,"and Sons"
53,"Laudantium sed veritatis quis soluta velit.",consequatur,aut,2009-05-25,"and Sons"
54,"Quia quaerat incidunt aut voluptatem occaecati esse.",tempora,sunt,2008-07-01,"and Sons"
55,"Sunt quidem ut ullam ipsa voluptatem consequatur.",dolores,veritatis,2001-05-11,"and Sons"
56,"Qui consequatur adipisci odit qui.",consequatur,veniam,1985-01-02,Group
57,"Omnis esse labore facilis omnis atque quia.",est,cupiditate,1995-10-10,Inc
58,"Consectetur alias et atque repellat delectus perferendis.",eum,illo,1998-09-17,Ltd
59,"Repellat odio vero ullam optio et officia.",ab,vero,1992-10-20,"and Sons"
60,"Totam repudiandae nihil reprehenderit.",eum,autem,1993-03-30,PLC
61,"Atque consequatur omnis eaque veritatis explicabo iusto.",dolor,quis,1979-09-21,"and Sons"
62,"Laboriosam reprehenderit ut exercitationem omnis voluptate in velit.",enim,eius,1976-09-22,"and Sons"
63,"Eaque ipsam aut perspiciatis est.",officiis,ex,2010-05-18,LLC
64,"Unde quo harum ea ut minima vel possimus.",cum,aut,1986-10-01,PLC
65,"Vitae aut consequatur mollitia ea.",odit,dolores,2001-06-15,Group
66,"Mollitia et cupiditate possimus voluptatibus laborum.",culpa,aut,1993-12-05,Ltd
67,"Aliquid ea facilis qui quia voluptas expedita.",eos,quibusdam,1977-08-02,Inc
68,"Enim maiores quasi ipsa.",facilis,placeat,2006-10-22,Ltd
69,"Sequi quasi aspernatur et tempore.",odit,voluptatem,1979-08-20,Inc
70,"Aliquid dolores reiciendis magnam dolor blanditiis enim.",inventore,aspernatur,1988-06-09,Ltd
71,"At ut mollitia eius qui facere distinctio.",beatae,nostrum,2003-03-22,Group
72,"Sit amet ducimus dicta consectetur temporibus.",eaque,sunt,1999-12-06,"and Sons"
73,"Esse officiis assumenda ut adipisci nemo ut.",dolores,qui,1974-10-09,Group
74,"Ut inventore qui rerum dicta in laborum saepe eaque.",est,fugiat,1970-04-13,Ltd
75,"Quaerat molestiae error et veniam et.",dolorem,qui,1984-10-15,Group
76,"Eligendi ex aut et soluta id.",dolorem,facere,2006-04-18,"and Sons"
77,"Iusto saepe id quia.",est,sint,2022-09-19,LLC
78,"Natus delectus rem quisquam veniam.",recusandae,quo,2015-09-12,PLC
79,"Quo quisquam illum rerum provident eius.",id,aperiam,1991-10-16,Inc
80,"Soluta rerum itaque quia.",fuga,dolor,1992-10-12,"and Sons"
81,"Aperiam natus inventore maiores consectetur ex.",cumque,harum,1978-08-07,Ltd
82,"Et et qui nobis sunt cupiditate.",sunt,officiis,1998-01-14,Ltd
83,"Consequatur at eveniet ut aut debitis.",dolor,voluptatem,1971-09-12,LLC
84,"Qui eius et unde est.",optio,nobis,2000-02-06,Group
85,"Sit mollitia inventore numquam quos odio nulla consequatur soluta.",commodi,mollitia,1993-10-27,"and Sons"
86,"At iusto velit aperiam molestiae officia.",vitae,dolores,1973-04-24,Group
87,"Omnis incidunt alias molestiae eum doloremque et.",accusamus,dolorem,1994-09-02,Group
88,"Officia incidunt ab cumque delectus voluptates laborum.",velit,vel,2022-10-16,Group
89,"Rem beatae praesentium illo consequatur.",asperiores,ex,1979-07-25,PLC
90,"Aut ipsum in velit est eos dolorem.",voluptatem,quas,2005-04-17,Group
91,"Sint quidem ab dicta dolores veritatis.",maiores,voluptas,2015-09-13,PLC
92,"Quo modi autem sed ex commodi.",sint,voluptatem,2014-04-09,"and Sons"
93,"Est sed maiores quasi officiis.",iure,illum,2005-10-01,Ltd
94,"Ea molestiae sint explicabo fugiat magnam optio.",deleniti,earum,2022-07-28,Ltd
95,"Voluptas quidem ullam quos quaerat dolorem.",impedit,velit,1983-02-16,Group
96,"Voluptatibus ullam voluptatum corrupti incidunt.",occaecati,quasi,1990-07-19,Group
97,"Totam iste unde qui autem voluptas eligendi qui vel.",vero,ipsum,1975-09-08,"and Sons"
98,"Aliquam quidem et sit aut illo quia.",laudantium,est,1999-10-26,Group
99,"Qui quis ad tenetur.",error,blanditiis,1989-10-26,Ltd
100,"Suscipit iusto corrupti fuga inventore exercitationem velit est.",dolore,et,1999-09-14,Inc
